local_time,cluster,host,remote_time,job_id,name,state,reason,start_time,elapsed,nodes,account,priority,log_file_count,non_marker_log_file_count,latest_log_file,runtime_log_present
2026-06-15 03:53:08 PDT,Lyris SWE-RL TE-Arch/PARD Proof Gates,login-lyris02.lyris.clusters.nvidia.com,2026-06-15 03:53:09 PDT,2126895,specdec-baseline-steps1-20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28,PENDING,Priority,2026-06-15T06:08:00,0:00,16,coreai_dlalgo_llm,,1,0,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28/baseline_steps1/latest_235b_scale_gen_job_id.txt,false
2026-06-15 03:53:08 PDT,Lyris SWE-RL TE-Arch/PARD Proof Gates,login-lyris02.lyris.clusters.nvidia.com,2026-06-15 03:53:09 PDT,2126915,specdec-pard2-steps1-20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28_afterok,PENDING,Dependency,N/A,0:00,16,coreai_dlalgo_llm,,1,0,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28_afterok/pard2_steps1/latest_235b_scale_gen_job_id.txt,false
2026-06-15 03:53:08 PDT,Lyris SWE-RL TE-Arch/PARD Proof Gates,login-lyris02.lyris.clusters.nvidia.com,2026-06-15 03:53:09 PDT,2126914,specdec-pard-steps1-20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28_afterok,PENDING,Dependency,N/A,0:00,16,coreai_dlalgo_llm,,1,0,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28_afterok/pard_steps1/latest_235b_scale_gen_job_id.txt,false
2026-06-15 03:53:08 PDT,OCI-HSG SWE-RL PARD-2 And MathRL Proof Gates,oci-hsg-cs-001-vscode-02,2026-06-15 03:53:09 PDT,3308774,specdec-pard2-steps1-20260614_oci_hsg_swerl_qwen235b_fullgrpo_pard2_pyoverlay_eager_nolevel_r16,PENDING,Priority,2026-06-15T11:20:00,0:00,16,nemotron_n3_post,,1,0,/lustre/fs1/portfolios/coreai/projects/coreai_dlalgo_nemorl/users/sna/swerl_fullgrpo_logs/20260614_oci_hsg_swerl_qwen235b_fullgrpo_pard2_pyoverlay_eager_nolevel_r16/pard2_steps1/latest_235b_scale_gen_job_id.txt,false
2026-06-15 03:53:08 PDT,OCI-HSG SWE-RL PARD-2 And MathRL Proof Gates,oci-hsg-cs-001-vscode-02,2026-06-15 03:53:09 PDT,3315380,online-qwen235b-mathrl-main-baseline-fixed256-step10-N32xG4,PENDING,Priority,2026-06-15T11:30:00,0:00,32,nemotron_n3_post,,0,0,,false
2026-06-15 03:53:08 PDT,OCI-HSG SWE-RL PARD-2 And MathRL Proof Gates,oci-hsg-cs-001-vscode-02,2026-06-15 03:53:09 PDT,3315381,online-qwen235b-mathrl-main-pard_k3-fixed256-step10-N32xG4,PENDING,Priority,2026-06-15T11:30:00,0:00,32,nemotron_n3_post,,0,0,,false
2026-06-15 03:53:08 PDT,OCI-HSG SWE-RL PARD-2 And MathRL Proof Gates,oci-hsg-cs-001-vscode-02,2026-06-15 03:53:09 PDT,3315382,online-qwen235b-mathrl-main-pard_k5-fixed256-step10-N32xG4,PENDING,Priority,2026-06-15T11:30:00,0:00,32,nemotron_n3_post,,0,0,,false
2026-06-15 03:54:44 PDT,Lyris SWE-RL TE-Arch/PARD Proof Gates,login-lyris02.lyris.clusters.nvidia.com,2026-06-15 03:54:45 PDT,2126895,specdec-baseline-steps1-20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28,PENDING,Priority,2026-06-15T07:32:00,0:00,16,coreai_dlalgo_llm,,1,0,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28/baseline_steps1/latest_235b_scale_gen_job_id.txt,false
2026-06-15 03:54:44 PDT,Lyris SWE-RL TE-Arch/PARD Proof Gates,login-lyris02.lyris.clusters.nvidia.com,2026-06-15 03:54:45 PDT,2126915,specdec-pard2-steps1-20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28_afterok,PENDING,Dependency,N/A,0:00,16,coreai_dlalgo_llm,,1,0,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28_afterok/pard2_steps1/latest_235b_scale_gen_job_id.txt,false
2026-06-15 03:54:44 PDT,Lyris SWE-RL TE-Arch/PARD Proof Gates,login-lyris02.lyris.clusters.nvidia.com,2026-06-15 03:54:45 PDT,2126914,specdec-pard-steps1-20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28_afterok,PENDING,Dependency,N/A,0:00,16,coreai_dlalgo_llm,,1,0,/lustre/fsw/coreai_dlalgo_llm/users/sna/swerl_fullgrpo_logs/20260615_lyris_swerl_qwen235b_fullgrpo_tearchfix_r28_afterok/pard_steps1/latest_235b_scale_gen_job_id.txt,false
