job_id,model,method,target_model,draft_model,num_speculative_tokens,max_steps,max_new_tokens,min_tokens,num_nodes,gpus_per_node,train_global_batch_size,run_id,base_log_dir,tracker_file
2109942,qwen235b,eagle3,Qwen/Qwen3-235B-A22B,nvidia/Qwen3-235B-A22B-Eagle3,3,10,1024,512,32,4,256,20260613_nemorl_integrated_specdec_step10,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen235b_eagle3,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109940,qwen235b,pard,Qwen/Qwen3-235B-A22B,amd/PARD-Qwen3-0.6B,5,10,1024,512,32,4,256,20260613_nemorl_integrated_specdec_step10,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen235b_pard,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109939,qwen235b,suffix,Qwen/Qwen3-235B-A22B,,32,10,1024,512,32,4,256,20260613_nemorl_integrated_specdec_step10,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen235b_suffix,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109935,qwen30ba3b,eagle3,Qwen/Qwen3-30B-A3B,RedHatAI/Qwen3-30B-A3B-Thinking-2507-speculator.eagle3,3,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen30ba3b_eagle3,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109934,qwen30ba3b,pard,Qwen/Qwen3-30B-A3B,amd/PARD-Qwen3-0.6B,5,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen30ba3b_pard,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109933,qwen30ba3b,suffix,Qwen/Qwen3-30B-A3B,,32,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen30ba3b_suffix,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109938,qwen32,eagle3,Qwen/Qwen3-32B,RedHatAI/Qwen3-32B-speculator.eagle3,3,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen32_eagle3,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109937,qwen32,pard,Qwen/Qwen3-32B,amd/PARD-Qwen3-0.6B,5,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen32_pard,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2109936,qwen32,suffix,Qwen/Qwen3-32B,,32,10,1024,512,4,4,512,20260613_nemorl_integrated_specdec_step10,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10/qwen32_suffix,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_jobs.csv
2110003,qwen235b,eagle3,Qwen/Qwen3-235B-A22B,nvidia/Qwen3-235B-A22B-Eagle3,3,10,1024,512,32,4,256,20260613_nemorl_integrated_specdec_step10_raymatch,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl-integrated-specdec-logs/20260613_nemorl_integrated_specdec_step10_raymatch/qwen235b_eagle3,latest_lyris_nemorl_integrated_specdec_maxsteps10_20260613_raymatch_jobs.csv
