job_id,cluster,purpose,model,mode,method,max_steps,max_new_tokens,enforce_eager,config,num_nodes,gpus_per_node,segment,gres_flag,account,partition,container,remote_repo,commit,run_root,wandb_project,wandb_name,state,notes
2312196,pre-tyche,import_smoke,,,,,,,scripts/submit_nemorl_import_smoke.sh,1,4,1,none,coreai_dlalgo_llm,batch,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-sna-lyris-specdec-runtime-setup-20260623,c28ebe2b12bb9b505d2f684c07f7c6f76f810287,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_ptyche_import_smoke,,,FAILED,"Smoke command quoting was invalid and base /opt/nemo_rl_venv intentionally has no vLLM; superseded by 2312200"
2312200,pre-tyche,import_smoke,,,,,,,scripts/submit_nemorl_import_smoke.sh,1,4,1,none,coreai_dlalgo_llm,batch,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-sna-lyris-specdec-runtime-setup-20260623,5aea62657f48a6d2d3481806309927ab403b4d3e,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_ptyche_import_smoke_v2,,,COMPLETED,"NeMo-RL import passed; Python 3.13.13; torch 2.11.0+cu130; four CUDA devices"
2312204,pre-tyche,performance_recipe_smoke,Qwen3-30B-A3B,sync,baseline,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,36x2-a01r,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-sna-lyris-specdec-runtime-setup-20260623,4a91abef698d7a0adeae36b99df853592d140f60,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_ptyche_qwen30_sync_baseline_recipeosl_cudagraph_smoke1,sna-nemorl-specdec-ptyche,qwen30ba3b_perfcfg_sync_baseline_recipeosl_cudagraph_smoke1_20260701,COMPLETED,"Step 1/1 completed; CUDA Graph PIECEWISE/FULL capture confirmed; W&B https://wandb.ai/nvidia/sna-nemorl-specdec-ptyche/runs/bxmy4p5p"
2312300,pre-tyche,performance_recipe_smoke,Qwen3-30B-A3B,sync,pard_k16,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,36x2-a01r,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-a76fdd65-20260701,a76fdd65ca48e0091c959459537366f8427d9280,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_ptyche_qwen30_sync_pardk16_cudagraph_smoke1,sna-nemorl-specdec-ptyche,qwen30ba3b_perfcfg_sync_pardk16_recipeosl_cudagraph_smoke1_20260701,FAILED,"Ray head failed before model startup: inherited Lustre TMPDIR made AF_UNIX plasma_store socket path exceed 107 bytes; fixed by commit 780f483a"
2312301,pre-tyche,performance_recipe_smoke,Qwen3-30B-A3B,sync,eagle3_k5,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,36x2-a01r,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-a76fdd65-20260701,a76fdd65ca48e0091c959459537366f8427d9280,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_ptyche_qwen30_sync_eagle3k5_cudagraph_smoke1,sna-nemorl-specdec-ptyche,qwen30ba3b_perfcfg_sync_eagle3k5_recipeosl_cudagraph_smoke1_20260701,FAILED,"Ray head failed before model startup: inherited Lustre TMPDIR made AF_UNIX plasma_store socket path exceed 107 bytes; fixed by commit 780f483a"
2312254,pre-tyche,stage_specdec_assets,,,,,,,scripts/submit_hf_snapshot_stage.sh,1,4,1,none,coreai_dlalgo_llm,batch,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-sna-lyris-specdec-runtime-setup-20260623,cff09baa0d60e8d7fac6429d9aa09d97f8116491,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_ptyche_stage_specdec_assets,,,COMPLETED,"Downloaded four assets to a nonstandard cache root; superseded by 2312255"
2312255,pre-tyche,stage_specdec_assets,,,,,,,scripts/submit_hf_snapshot_stage.sh,1,4,1,none,coreai_dlalgo_llm,batch,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-sna-lyris-specdec-runtime-setup-20260623,4a91abef698d7a0adeae36b99df853592d140f60,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_ptyche_stage_specdec_assets_hubfix,,,COMPLETED,"PARD 0.6B and Qwen30/Qwen32/Qwen235 Eagle3 snapshots verified under HF_HOME/hub"
2313224,pre-tyche,performance_recipe_smoke,Qwen3-30B-A3B,sync,pard_k16,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,36x2-a01r,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-a76fdd65-20260701,780f483aeba7ad0bcbbcb1217de8f3a86794bf20,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_ptyche_qwen30_sync_pardk16_cudagraph_smoke1_retry_tmpfix,sna-nemorl-specdec-ptyche,qwen30ba3b_perfcfg_sync_pardk16_recipeosl_cudagraph_smoke1_retry_tmpfix_20260701,FAILED,"vLLM rejected max_num_scheduled_tokens=0 before CUDA Graph capture; W&B https://wandb.ai/nvidia/sna-nemorl-specdec-ptyche/runs/h80cbkny"
2313225,pre-tyche,performance_recipe_smoke,Qwen3-30B-A3B,sync,eagle3_k5,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,36x2-a01r,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-a76fdd65-20260701,780f483aeba7ad0bcbbcb1217de8f3a86794bf20,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_ptyche_qwen30_sync_eagle3k5_cudagraph_smoke1_retry_tmpfix,sna-nemorl-specdec-ptyche,qwen30ba3b_perfcfg_sync_eagle3k5_recipeosl_cudagraph_smoke1_retry_tmpfix_20260701,RUNNING,"Generation CUDA Graph PIECEWISE/FULL 48/48 captured; W&B https://wandb.ai/nvidia/sna-nemorl-specdec-ptyche/runs/3w2687ib"
2313287,pre-tyche,performance_recipe_smoke,Qwen3-30B-A3B,sync,pard_k16,1,4096,false,examples/configs/recipes/llm/performance/grpo-qwen3-30ba3b-4n4g.yaml,4,4,4,none,coreai_dlalgo_llm,36x2-a01r,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-a76fdd65-20260701,4b857d4b2a228aa2354e4020b241b85aaab84228,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260701_ptyche_qwen30_sync_pardk16_cudagraph_mnbt32768_seq128_smoke1,sna-nemorl-specdec-ptyche,qwen30ba3b_perfcfg_sync_pardk16_recipeosl_cudagraph_mnbt32768_seq128_smoke1_20260701,FAILED,"Shared actor venv was concurrently rebuilt and lost Python encodings; scheduler limits were applied successfully; W&B https://wandb.ai/nvidia/sna-nemorl-specdec-ptyche/runs/ckqv5vxl"
